Country,Indices,Last,High,Low,Chg.,Chg%,Date/Time
Singapore,STI Index,3183.61,3196.08,3175.41,-33.3,-1.04,2024-04-15 05:20:00
Singapore,FTSE Singapore,343.4,343.4,343.4,0.0,0.0,
Singapore,MSCI Singapore,292.59,294.74,292.58,-1.91,-0.65,
Slovakia,SAX,316.19,316.19,316.19,-0.0,0.0,
Slovenia,Blue-Chip SBITOP,1419.13,1438.14,1412.67,-19.55,-1.36,2024-04-15 09:13:40
South Africa,South Africa Top 40,68348.49,69142.0,68307.5,-860.45,-1.24,2024-04-15 10:59:59
South Africa,FTSE South Africa,3910.92,3910.92,3910.92,6.34,0.16,
South Africa,FTSE/JSE All Share,74518.63,75175.66,74460.55,-793.13,-1.05,2024-04-15 10:59:59
South Korea,KOSPI,2670.14,2673.26,2641.16,-11.68,-0.44,2024-04-15 02:30:30
South Korea,KOSPI 50,2530.81,2534.52,2498.54,-10.82,-0.43,2024-04-15 02:30:30
South Korea,FTSE Korea,413.08,413.08,413.08,0.0,0.0,
South Korea,KOSDAQ,852.42,854.51,842.84,-8.05,-0.94,2024-04-15 02:32:30
South Korea,KQ 100,2020.57,2032.26,1997.54,-17.27,-0.85,2024-04-15 02:30:30
South Korea,KOSPI 100,2753.42,2757.23,2720.7,-13.83,-0.5,2024-04-15 02:30:30
South Korea,KOSPI 200,365.26,365.74,361.01,-1.99,-0.54,2024-04-15 02:30:28
South Korea,KOSPI Large Sized,2677.78,2681.87,2646.76,-12.14,-0.45,2024-04-15 02:30:30
South Korea,KOSPI Medium Sized,2816.16,2817.27,2788.99,-10.98,-0.39,2024-04-15 02:30:30
South Korea,KOSPI Small Sized,2287.96,2287.96,2268.9,-5.34,-0.23,2024-04-15 02:30:30
South Korea,KRX 100,5688.39,5696.65,5622.87,-25.44,-0.45,2024-04-15 02:30:30
Spain,IBEX 35,10687.01,10752.5,10657.5,1.01,0.01,2024-04-15 11:34:58
Spain,FTSE Latibex  ,2482.4,2483.6,2472.1,-1.9,-0.08,2024-04-15 11:28:00
Spain,General Madrid,1057.12,1064.06,1055.53,-0.66,-0.06,2024-04-15 11:28:00
Spain,IBEX Medium Cap,13322.4,13394.7,13292.9,-46.0,-0.34,2024-04-15 11:28:00
Spain,IBEX Small Cap,8231.0,8279.2,8220.5,-44.9,-0.54,2024-04-15 11:27:00
Spain,VIBEX,14.0,14.0,14.0,0.7,5.26,
Sri Lanka,CSE All-Share,12006.2,12047.47,11931.22,-26.9,-0.22,2024-04-15 01:00:00
